year,data_mean_global,data_mean_nh,data_mean_sh
0,277.454,277.454,277.454
1,277.137,277.137,277.137
2,277.16,277.16,277.16
3,277.158,277.158,277.158
4,277.157,277.157,277.157
5,277.167,277.167,277.167
6,277.172,277.172,277.172
7,277.171,277.171,277.171
8,277.175,277.175,277.175
9,277.176,277.176,277.176
10,277.179,277.179,277.179
11,277.194,277.194,277.194
12,277.198,277.198,277.198
13,277.201,277.201,277.201
14,277.201,277.201,277.201
15,277.211,277.211,277.211
16,277.217,277.217,277.217
17,277.221,277.221,277.221
18,277.226,277.226,277.226
19,277.227,277.227,277.227
20,277.232,277.232,277.232
21,277.234,277.234,277.234
22,277.237,277.237,277.237
23,277.245,277.245,277.245
24,277.249,277.249,277.249
25,277.256,277.256,277.256
26,277.26,277.26,277.26
27,277.277,277.277,277.277
28,277.28,277.28,277.28
29,277.282,277.282,277.282
30,277.284,277.284,277.284
31,277.285,277.285,277.285
32,277.293,277.293,277.293
33,277.291,277.291,277.291
34,277.295,277.295,277.295
35,277.3,277.3,277.3
36,277.305,277.305,277.305
37,277.311,277.311,277.311
38,277.316,277.316,277.316
39,277.318,277.318,277.318
40,277.325,277.325,277.325
41,277.33,277.33,277.33
42,277.334,277.334000000001,277.334
43,277.337,277.337,277.337
44,277.341,277.341,277.341
45,277.343,277.343,277.343
46,277.348,277.348,277.348
47,277.351,277.351,277.351
48,277.353,277.353,277.353
49,277.36,277.36,277.36
50,277.362,277.362,277.362
51,277.363,277.363,277.363
52,277.368,277.368,277.368
53,277.371,277.371,277.371
54,277.376,277.376,277.376
55,277.379,277.379,277.379
56,277.385,277.385,277.385
57,277.387,277.387,277.387
58,277.389,277.389,277.389
59,277.395,277.395,277.395
60,277.397,277.397,277.397
61,277.402,277.402,277.402
62,277.406,277.406,277.406
63,277.408,277.408,277.408
64,277.417,277.417,277.417
65,277.423,277.423,277.423
66,277.428,277.428,277.428
67,277.43,277.43,277.43
68,277.433,277.433,277.433
69,277.437,277.437,277.437
70,277.436,277.436,277.436
71,277.437,277.437,277.437
72,277.437,277.437,277.437
73,277.445,277.445,277.445
74,277.452,277.452,277.452
75,277.457,277.457,277.457
76,277.462,277.462,277.462
77,277.461,277.461,277.461
78,277.463,277.463,277.463
79,277.472,277.472,277.472
80,277.477,277.477,277.477
81,277.481,277.481,277.481
82,277.487,277.487,277.487
83,277.489,277.489,277.489
84,277.497,277.497,277.497
85,277.505,277.505,277.505
86,277.509,277.509,277.509
87,277.516,277.516,277.516
88,277.52,277.52,277.52
89,277.528,277.528,277.528
90,277.536,277.536,277.536
91,277.541,277.541,277.541
92,277.554,277.554,277.554
93,277.56,277.56,277.56
94,277.571,277.571,277.571
95,277.571,277.571,277.571
96,277.579,277.579,277.579
97,277.584,277.584,277.584
98,277.597,277.597,277.597
99,277.609,277.609,277.609
100,277.62,277.62,277.62
101,277.623,277.623,277.623
102,277.63,277.63,277.63
103,277.633,277.633,277.633
104,277.636,277.636,277.636
105,277.645,277.645,277.645
106,277.643,277.643,277.643
107,277.651,277.651,277.651
108,277.656,277.656,277.656
109,277.659,277.659,277.659
110,277.663,277.663,277.663
111,277.671,277.671,277.671
112,277.678,277.678,277.678
113,277.694,277.694,277.694
114,277.702,277.702,277.702
115,277.71,277.71,277.71
116,277.717,277.717,277.717
117,277.718,277.718,277.718
118,277.723,277.723,277.723
119,277.726,277.726,277.726
120,277.733,277.733,277.733
121,277.739,277.739,277.739
122,277.744,277.744,277.744
123,277.748,277.748,277.748
124,277.75,277.75,277.75
125,277.758,277.758,277.758
126,277.761,277.761,277.761
127,277.765,277.765,277.765
128,277.769,277.769,277.769
129,277.77,277.77,277.77
130,277.773,277.773,277.773
131,277.779,277.779,277.779
132,277.785,277.785,277.785
133,277.79,277.79,277.79
134,277.794,277.794,277.794
135,277.801,277.801,277.801
136,277.808,277.808,277.808
137,277.813,277.813,277.813
138,277.821,277.821,277.821
139,277.828,277.828,277.828
140,277.832,277.832,277.832
141,277.835,277.835,277.835
142,277.846,277.846,277.846
143,277.855,277.855,277.855
144,277.859,277.859,277.859
145,277.869,277.869,277.869
